,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
0,Steve Jobs ,Walter Isaacson,biography,2011,4.12,768288,https://images.gr-assets.com/books/1511288482s/11084145.jpg
1,The Diary of a Young Girl ,Anne Frank,biography,1947,4.12,2342796,https://images.gr-assets.com/books/1537075718s/48855.jpg
2,"Unbroken: A World War II Story of Survival, Resilience and Redemption ",Laura Hillenbrand,biography,2010,4.38,638867,https://images.gr-assets.com/books/1327861115s/8664353.jpg
3,John Adams ,David McCullough,biography,2001,4.05,263746,https://images.gr-assets.com/books/1478144278s/2203.jpg
4,Bossypants ,Tina Fey,biography,2011,3.95,723079,https://images.gr-assets.com/books/1481509554s/9418327.jpg
5,The Immortal Life of Henrietta Lacks ,Rebecca Skloot,biography,2010,4.05,490212,https://images.gr-assets.com/books/1327878144s/6493208.jpg
6,Alexander Hamilton ,Ron Chernow,biography,2004,4.24,85786,https://images.gr-assets.com/books/1436131915s/16130.jpg
7,Einstein: His Life and Universe ,Walter Isaacson,biography,2007,4.09,98148,https://images.gr-assets.com/books/1328011405s/10884.jpg
8,Into the Wild ,Jon Krakauer,biography,1996,3.97,765994,https://images.gr-assets.com/books/1403173986s/1845.jpg
9,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future ",Ashlee Vance,biography,2015,4.23,148658,https://images.gr-assets.com/books/1518291452s/25541028.jpg
10,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban ,Malala Yousafzai,biography,2012,4.1,316498,https://images.gr-assets.com/books/1375414895s/17851885.jpg
11,The Autobiography of Malcolm X ,Malcolm X,biography,1965,4.3,160200,https://images.gr-assets.com/books/1434682864s/92057.jpg
12,Benjamin Franklin: An American Life ,Walter Isaacson,biography,2003,3.98,93932,https://images.gr-assets.com/books/1397772877s/10883.jpg
13,Night ,Elie Wiesel,biography,1958,4.31,841796,https://images.gr-assets.com/books/1473495285s/1617.jpg
14,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character ",Richard Feynman,biography,1985,4.28,124566,https://images.gr-assets.com/books/1504936953s/35167685.jpg
15,Cleopatra: A Life ,Stacy Schiff,biography,2010,3.64,83912,https://images.gr-assets.com/books/1294098301s/7968243.jpg
16,Yes Please ,Amy Poehler,biography,2014,3.82,353339,https://images.gr-assets.com/books/1402815435s/20910157.jpg
17,The Glass Castle ,Jeannette Walls,biography,2005,4.26,765407,https://images.gr-assets.com/books/1523542886s/7445.jpg
18,Team of Rivals: The Political Genius of Abraham Lincoln ,Doris Kearns Goodwin,biography,2005,4.28,128954,https://images.gr-assets.com/books/1347278868s/2199.jpg
19,Angela's Ashes ,Frank McCourt,biography,1996,4.09,477067,https://images.gr-assets.com/books/1348317139s/252577.jpg
20,Catherine the Great: Portrait of a Woman ,Robert K. Massie,biography,2011,3.91,84290,https://images.gr-assets.com/books/1403395276s/10414941.jpg
21,Born a Crime: Stories From a South African Childhood ,Trevor Noah,biography,2016,4.45,180980,https://images.gr-assets.com/books/1473867911s/29780253.jpg
22,"Bonhoeffer: Pastor, Martyr, Prophet, Spy ",Eric Metaxas,biography,2009,4.22,46723,https://images.gr-assets.com/books/1298218180s/7501962.jpg
23,The Autobiography of Benjamin Franklin ,Benjamin Franklin,biography,1791,3.82,56398,https://images.gr-assets.com/books/1428170518s/52309.jpg
24,The Rise of Theodore Roosevelt ,Edmund Morris,biography,1979,4.24,33911,https://images.gr-assets.com/books/1452010007s/40929.jpg
25,I Know Why the Caged Bird Sings ,Maya Angelou,biography,1969,4.22,337964,https://images.gr-assets.com/books/1327957927s/13214.jpg
26,Washington: A Life ,Ron Chernow,biography,2010,4.07,41723,https://images.gr-assets.com/books/1348969179s/8255917.jpg
27,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,biography,2012,3.99,510584,https://images.gr-assets.com/books/1453189881s/12262741.jpg
28,When Breath Becomes Air ,Paul Kalanithi,biography,2016,4.34,287468,https://images.gr-assets.com/books/1492677644s/25899336.jpg
29,The Hiding Place: The Triumphant True Story of Corrie Ten Boom ,Corrie ten Boom,biography,1971,4.41,219466,https://images.gr-assets.com/books/1320418824s/561909.jpg
